,open,close
699,60.95,60.55
700,60.66,61.8
701,61.8,61.46
702,61.96,61.99
703,62.14,62.64
704,62.06,61.96
705,62.05,62.19
706,62.19,62.18
707,62.1,61.39
708,61.08,61.37
709,61.63,61.22
710,61.37,59.55
711,59.86,61.75
712,61.75,61.89
713,61.69,62.16
714,61.71,61.18
715,61.13,61.87
716,60.86,59.82
717,60.04,59.92
718,60.55,59.98
719,60.32,60.35
720,60.66,59.515
721,59.2,58.62
722,58.89,59.54
723,59.94,59.99
724,60.26,60.34
725,60.37,60.32
726,60.02,60.19
727,60.46,61.13
728,61.22,60.82
729,60.65,60.03
730,58.77,58.26
731,58.79,58.65
732,57.7,58.13
733,56.88,56.69
734,57.41,56.63
735,57.0,57.82
736,58.39,59.46
737,59.8,57.87
738,57.51,58.98
739,57.07,58.0
740,58.67,58.55
741,57.57,56.92
742,57.84,59.03
743,57.55,59.17
744,59.36,57.71
745,57.92,58.61
746,58.87,57.63
747,58.29,59.285
748,59.78,60.77
749,60.66,61.4
750,60.66,60.695
751,60.88,59.53
752,59.41,58.29
753,58.1,54.49
754,53.09,54.14
755,53.19,54.42
756,55.28,55.14
757,53.89,54.92
758,55.56,55.86
759,56.79,56.41
760,56.7,57.63
761,57.57,56.96
762,56.92,57.67
763,58.63,58.87
764,58.45,58.46
765,57.21,58.11
766,58.46,58.75
767,59.0,58.34
768,58.25,58.21
769,58.77,60.04
770,59.83,59.56
771,59.12,59.04
772,59.14,58.7
773,58.44,58.0
774,57.58,57.6
775,57.78,57.07
776,57.51,57.52
777,58.1,57.59
778,57.58,58.65
779,58.32,59.08
780,58.65,59.67
781,59.47,59.55
782,59.91,59.7
783,59.56,59.1
784,59.0,59.38
785,59.14,58.83
786,58.7,58.36
787,58.56,58.96
788,58.82,59.55
789,60.0,60.01
790,59.77,59.7
791,59.61,61.02
792,61.1,60.25
793,59.88,60.04
794,60.02,60.83
795,60.59,61.17
796,61.5,61.04
797,61.22,60.9
798,58.95,59.5
799,60.32,60.21
800,60.26,60.13
801,60.24,60.51
802,60.69,60.89
803,61.16,60.9
804,61.04,60.9
805,60.9,60.64
806,59.01,57.68
807,57.62,57.77
808,58.05,57.72
809,57.51,56.9
810,56.59,56.42
811,56.02,56.23
812,56.29,57.36
813,56.7,56.25
814,55.98,56.39
815,56.37,56.25
816,55.96,56.31
817,56.32,56.64
818,56.85,57.49
819,57.13,56.23
820,56.57,56.3
821,56.43,55.82
822,55.7,55.53
823,55.38,54.88
824,54.76,54.8
825,54.43,54.55
826,54.88,54.62
827,54.62,54.6
828,54.74,55.44
829,55.2,55.15
830,55.55,55.29
831,55.36,55.15
832,55.5,54.89
833,54.76,54.82
834,54.9,54.62
835,54.71,54.61
836,54.72,55.59
837,55.65,55.3
838,55.5,55.22
839,55.15,55.58
840,54.92,54.865
841,54.79,55.04
842,55.05,55.57
843,55.64,55.35
844,54.9,55.53
845,55.61,55.31
846,55.77,55.38
847,55.52,55.81
848,55.88,55.61
849,55.98,56.13
850,54.05,54.68
851,54.2,53.69
852,54.1,54.85
853,55.42,56.74
854,56.81,57.12
855,57.04,56.99
856,56.81,56.77
857,56.52,56.75
858,56.66,56.91
859,56.92,56.51
860,56.8,56.32
861,56.65,57.48
862,56.8,56.48
863,57.0,57.59
864,57.69,57.41
865,57.59,56.92
866,56.85,56.76
867,57.0,57.54
868,57.62,57.6
869,57.6,57.9
870,57.72,57.95
871,58.58,58.31
872,58.38,57.85
873,57.88,58.21
874,58.18,58.05
875,58.0,57.63
876,57.25,56.73
877,56.46,55.94
878,56.05,55.42
879,55.8,55.9
